0,1,2,3,4,5,6,7,8
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,f9983321-b20f-434c-8e1a-88b2844c1710,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2360bce9-6dd9-4d8f-91f9-6da92f15f042,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب
مركز تنمية المجتمع المحلي الرويشد,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,280eb171-39d8-4448-905c-b772372c7886,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,المراكز والمؤسسات,,الأردن,89ee05ae-5ed9-47ab-af13-fc84d46e4c75,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين 
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,المراكز والمؤسسات,,الأردن,845bbccb-4ba6-4a4f-87de-90f536cef4d7,962791890409,Makaniproject@yahoo.com,الطفيلة _ عين البيضا _ الشارع الرئيسي
جمعية جبل طارق,أماكن صديقة,المراكز والمؤسسات,,الأردن,5f2aa765-c000-488b-8d5d-5bd8ae62881d,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,المراكز والمؤسسات,,الأردن,fe1ff275-5ef7-4452-9b35-10608de2e2d2,962789584052,,الطفيلة _ العيص _ شارع البلدية
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,المراكز والمؤسسات,,الأردن,463d0e02-d7e4-470a-8ff0-9e6b9f0ef0a4,962772084203,,دير علا _ طوال الجنوبي
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,المراكز والمؤسسات,,الأردن,5e4bc1f4-db16-46b6-9691-30d5031334c1,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي
مركز حمزة - الشوبك,أماكن صديقة,المراكز والمؤسسات,,الأردن,62fa4cc3-dcdd-4c53-9c21-3a732bb7a34d,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,المراكز والمؤسسات,,الأردن,b55199d5-c6c9-43b2-8ec3-73413c4483ef,962777286062,K.darawsheh@yahoo.com,معان _ المريغة _ مقابل بلديه الشراه
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,المراكز والمؤسسات,,الأردن,d14dd6f2-33ac-4373-82fb-a700389bcc6e,962779909092,,جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,المراكز والمؤسسات,,الأردن,0bdfbade-7fd7-49eb-8e7a-f6d5fd763669,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,المراكز والمؤسسات,,الأردن,01cef953-e620-4b82-869f-1c29fa924054,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي
مركز ضرار,أماكن صديقة,المراكز والمؤسسات,,الأردن,05834cd3-05ea-4148-a054-8236fe38fd49,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,d03ae207-bf22-405c-8c8d-cbb06bbb170b,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,المراكز والمؤسسات,,الأردن,f78f0be9-98f9-4fa2-b283-500937244682,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,cfe60ceb-43bc-486f-b385-c12e1bfb1e9b,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية
جمعية بيت الكل الخيرية,أماكن صديقة,المراكز والمؤسسات,,الأردن,664d3b77-72a3-4d7d-9aaa-b530173870c0,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين
مركز الحياة,أماكن صديقة,المراكز والمؤسسات,,الأردن,99c98a59-f1a3-46af-be57-fe71300269f7,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة 
مركز الرجيب,أماكن صديقة,المراكز والمؤسسات,,الأردن,5036d878-70d7-4533-a9fc-cd447558465c,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام
مركز الكرك,أماكن صديقة,المراكز والمؤسسات,,الأردن,d0dfdabb-fbb1-4a3e-b78e-f50c79a821b0,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
مركز الدبايبة,أماكن صديقة,المراكز والمؤسسات,,الأردن,da13d2c9-0bb9-4379-b4dc-40b4600e5ac3,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين
مركز مخيم الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,028fdc72-16b0-4e84-a648-09341e420b11,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة
مركز الإيمان,أماكن صديقة,المراكز والمؤسسات,,الأردن,2bc3152f-312f-4054-afdc-e44dd17a3be0,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح
مركز الوسطية,أماكن صديقة,المراكز والمؤسسات,,الأردن,85bcd35e-5eda-4979-bf31-4eeaee1a57f1,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
مركز الضليل,أماكن صديقة,المراكز والمؤسسات,,الأردن,6593c8aa-b204-40d3-9d02-2627562604b4,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
مركز أيتام مخيم الطالبية,أماكن صديقة,المراكز والمؤسسات,,الأردن,247718df-335e-4054-9975-f15105779944,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار
مركز أيتام البيادر,أماكن صديقة,المراكز والمؤسسات,,الأردن,10bae993-3be0-414c-b59e-edb8dfd47f96,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس
مركز أيتام مخيم غزة,أماكن صديقة,المراكز والمؤسسات,,الأردن,b3ffe806-2585-478d-a914-fa50d47dda9f,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي
مركز أيتام مخيم مادبا,أماكن صديقة,المراكز والمؤسسات,,الأردن,08fb7c24-5f46-4995-ae48-d8cf087be29e,962780010903,Madaba@islamcc.org,مادبا	_ مخيم مادبا _ الشارع الرئيسي 
مركز فرع الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,7f33b96a-9bfa-49f1-bbd3-5c394579e934,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق
مركز المفرق,أماكن صديقة,المراكز والمؤسسات,,الأردن,10718ce4-539f-40b2-8091-91d88c2b6e89,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة
مركز الكورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,a3d5334c-2fc4-45a0-84dc-2fea6bd1bdfb,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري
مركز أبو هريرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,30e8fea3-e65e-45a5-adc7-3fc13671b846,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية
مركز الغور الصافي,أماكن صديقة,المراكز والمؤسسات,,الأردن,b588876c-fdec-4d81-bc0f-ddd4e4d731ed,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي
مركز غور المزرعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,6f3101c0-1505-459e-8161-9837efb814a0,962795915292,,الكرك	_ الأغوار الجنوبية _ غور المزرعة
مركز مخيم سوف,أماكن صديقة,المراكز والمؤسسات,,الأردن,acac8201-a850-420a-af41-2b29d5ade1ab,962796559042,hadiaserha27@gmail.com,جرش	 _ مخيم سوف _ الشارع الرئيسي
مركز أيتام مخيم حطين,أماكن صديقة,المراكز والمؤسسات,,الأردن,8da71c3d-7998-4e3d-a91f-28aa2b43cdc7,962781144988,Mmarkaz@yahoo.com,الزرقاء _ الرصيفة	_ مخيم حطين 
مركز أيتام البقعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,f1f30274-c398-45e0-bad0-f6eae0220859,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة
مركز أيتام الرصيفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,55b08619-b441-4828-8ad9-892566f4b16a,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة
مركز الوحدات,أماكن صديقة,المراكز والمؤسسات,,الأردن,c16b9535-d5f6-4c6c-9b82-9c7bfaf48518,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,aee10dd6-4a76-44b2-97b6-ca1d39cff551,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف
مركز مخيم اربد,أماكن صديقة,المراكز والمؤسسات,,الأردن,f770bd41-53cd-4b0e-b731-65a3d8095244,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي
مركز صويلح,أماكن صديقة,المراكز والمؤسسات,,الأردن,c7b10296-cdbd-4683-9a03-7a8185564118,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح
مركز أيتام المزار الجنوبي,أماكن صديقة,المراكز والمؤسسات,,الأردن,7901c25e-a621-4a45-849b-df04da8b2cc0,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار
مركز أيتام المقابلين,أماكن صديقة,المراكز والمؤسسات,,الأردن,79445dbe-73bf-4e50-ac85-20da240e2602,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين
نايا للتدريب والتنمية المجتمعية,أماكن صديقة,المراكز والمؤسسات,,الأردن,a6d584a2-f9a4-418e-828e-f020d00d7056,962795109703,Info@Nayajo.org,الزرقاء
مبادرة بهجة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,48f8c459-adeb-4002-aadd-fd9ee6d01043,962795234194,lumajamjoum8@gmail.com,عمان
آدم ومشمش,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,07171428-96cb-4603-bef4-dd00cd190b9c,962797644765,luma@Adamwamishmish.com,عمان
نشاطات صديق,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,9356b41a-c7b1-401e-b2b7-955b0b67ca3a,962777392255,info@sdeq.com.jo,متوفر إلكترونياً
مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,1838a533-bbb3-4e44-b35f-4d73880a1ac9,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
مركز النور,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,4f572636-d14d-47c0-b209-7cd9126de1f0,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية
مركز الجوفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,f9ac1e77-df53-477e-95f4-a7c5d0303791,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة
مركز عز الدين القسام,أماكن صديقة,المراكز والمؤسسات,,الأردن,a8306fd4-1871-4b03-bee6-4e30aa124f6c,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
مركز العابورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,f3aa69c1-35de-4ce2-9289-e0b6c1c39bca,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم
مركز عزمي المفتي,أماكن صديقة,المراكز والمؤسسات,,الأردن,af718288-e5c8-46bb-8d8e-f8a1bb75f565,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
مجموعة الكرك للدعم الأسري,أماكن صديقة,المراكز والمؤسسات,,الأردن,0da822ac-1f0c-4c85-9c19-0a31d532b7bb,962796312168,,الكرك، مدرسة المنشية الثانوية الشاملة للبنات
مجموعة جرش للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,0dc0ab90-8028-40c3-bddd-56b0a4af97ac,962796921189,,جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية
مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,9a90eafd-e264-40c7-b840-d38cb20dc189,962796062765,,مأدبا، بيت اللقاء
مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,c4b33801-24ca-49b9-87bf-32bb7e3ecddb,962795062153,,البلقاء، عين الباشا، مركز المنار للتنمية الفكرية
مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,83dcff4c-71f6-4531-95b1-a208d10b7ef7,962790960500,,المفرق، جمعية الأصايل للإبداع والفن التشكيلي
مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,4fad1e0c-65bd-4bb7-b1ea-df592eec31e6,962795577686,,الزرقاء، مجمع النقابات المهنية
مجموعة إربد للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,ee9fab55-c97e-4aa9-840b-ec92973ba94d,,,اربد، ديوان آل حجازي
مجموعة السلط للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,ff91ffa5-5e57-4bb6-add9-b10bc51136ce,962797015159,,السلط، جمعية موسى الساكت للتنمية
مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,3ef4ee3d-6c45-43f5-8d8c-08ebfaa1ebd1,,,عمان، جبل النظيف، مؤسسة رواد التنمية
مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,894195db-1e26-4913-bac7-2736a7fdaea9,,,عمان، البنيات، جمعية الشابات المسلمات في البنيات
مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,6d137b50-dcf9-4d23-b565-3e952787117b,,,عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة
مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,9908c0fb-1f37-4c5f-9e55-feddf99eda4c,,,البلقاء، الفحيص، مركز نازك الحريري
مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,9c5c02d9-f286-447c-8259-5f8a701cc559,,,عمان، الوحدات، حديقة ومكتبة البشائر
مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,b38d344e-8c74-4b26-8a99-27300c8856ff,,,عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة
مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,9884c64b-b60b-4d21-9731-b080d4cd960c,,,عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع
مركز المنار للتنمية الفكرية / زي,مجموعات دعم أسري,المراكز والمؤسسات,البلقاء|جهة حكومية,الأردن,245438a5-3971-4058-9552-a9dfbdb97ef4,962779808090,,البلقاء، زي، قرب مسجد زي
مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات متعددة,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,de6825b5-0b3d-43d1-884a-da989ffd1d56,962772281832,alrajaaschool@yahoo.com,الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال
جمعية رعاية المعوقين,إعاقات سمعية,المراكز والمؤسسات,الكرك|جهة تطوعية,الأردن,6badd834-76f4-4630-b467-9b23fdbc634b,,,الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل
مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,931fb614-9592-4f8d-9f25-6f316056ca83,962797660334,mhmmaddwekat44@gmail.com,عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان
مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,5527db5d-60ae-47a6-b00b-8ca18cd4e56f,962776944821,,عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,81de6b78-fa38-45cc-b4b5-506f82165108,,,المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,16c7edb7-1a21-44c5-a47f-e5940b83e129,,,إربد، لواء الرمثا
مدرسة الفنار الأساسية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,41192193-1537-4f5f-854f-9b05e145bf38,962796186461,,الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية
جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,c3d2c864-0124-4234-9eac-6d4c2d097d8f,962788337515,info@sana.org.jo,عمان، الدوار السابع، شارع عبدالله غوشة
مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,59fa3544-579e-4277-806f-a3f03e074838,962779808090,hope_yes@hotmail.com,عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏
أكاديمية سوا للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,c944cd14-7fd8-4132-825e-aba4affe7f57,962790902245,sawa.academy18@gmail.com,عمان، الرابية، بالقرب من مدارس كامبردج
مركز لبنى للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,f09fb3f3-898b-4777-bf5a-d9f8ba4ca819,962791017001,lubnacfse@gmail.com,عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3
جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,e09d4061-8712-4542-bd1c-d75681d57ff3,962799904333,,المفرق، الشارع الرئيسي، بالقرب من البلدية
جمعية السرحان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,da9f3f13-b26a-41bc-afee-5ffebda2c152,962799650343,alserhansfse@gmail.com,المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة
مركز CDR لذوي الاعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,4f56c6db-5dfb-478a-b759-e6ecafeb5922,962772639073,beboo_198399@yahoo.com,عمان، الجبيهة، شارع ياجوز
جمعية التصلب اللويحي المتعدد الخيرية,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,50ef8705-edde-4653-b654-6783674e2c5d,962772055433,,عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة
مركز لوفاس للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,1851c99b-142e-4e37-9ec2-cc3c49239433,962797763536,lovaas.center@yahoo.com,عمان، مرج الحمام، قرب دوار الجندي
مدرسة الأمل الأساسية للصم,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,554ea77e-ebc8-4d62-a762-19c20028fe42,962792269197,alamaldeafammanfirst66@yahoo.com,عمان، ماركا، حي العبدللات - قرب حلويات النجمة
مركز العقبة الشامل للتربية الخاصة,إعاقات سمعية,المراكز والمؤسسات,العقبة|جهة حكومية,الأردن,04a3285b-6084-413a-99dc-ea82fe27d893,962772136501,,العقبة، المنطقة الخامسة، شارع الملك عبدالله - بجانب مدرسة البطريك ثيودورس الاول
مركز آية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,c7523157-ea0f-46f5-aa94-3d0d137e6a15,962796454538,aya_sec@yahoo.com,عمان، ماركا الشمالية، حي المزارع، شارع منصور السرحان - بناية 17
مركز التأهيل والتشغيل المهني,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,6eeb5d1a-8992-417f-aec2-2a59432169f1,962795404949,,إربد، حي القصيلة، غرب مجمع الأغوار الجديد
جمعية الأمل للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,c9ba203b-19bb-4e92-af74-79b6a1498d30,962778431315,alamal1236@yahoo.com,إربد، ايدون	الحي الغربي، قرب ديوان الخصاونة 
مركز روح الشرق للتطوير,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,49e2d791-e2e6-413d-bc7e-dafb6d5ddc60,,info@orientspirit.net,عمان، الدوار السابع، شارع ابراهيم قطان - مبنى رقم 62
جمعية جابر للتنمية الإجتماعية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,e238f8bf-4a6a-4d05-9988-e9299f917fc7,,,المفرق، جابر السرحان، الحي الشمالي - بالقرب من مدرسة جابر السرحان الثانوية
المدرسة الإنجيلية الأسقفية العربية,إعاقات حركية,المراكز والمؤسسات,إربد|جهة خاصة,الأردن,3f6bfa31-e545-4e0f-9cea-8d8d16833102,962779089374,stjohn_b@hotmail.com,إربد، شارع البارحة، خلف جمعية آل حداد
مدرسة المخلص الإنجيلية الأسقفية العربية,إعاقات بصرية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,c80d2ccf-7ffe-41b7-9ac4-abe0287b21be,,ses.1995@yahoo.com,الزرقاء، شارع الأمير نايف، مقابل مدرسة الروم الأرثدوكس
شركة مركز إنجاز للتوحد,إعاقات بصرية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,1d3556c4-e14b-466e-b024-5516386d2410,962776581322,info@enjaz-autsim.com,عمان، شفا بدران، خلف جامعة العلوم التطبيقية، بجانب مسجد الشهيد محمود الكايد - فيلا رقم (42)
مركز أصدقاء التوحد الخيري,توحد,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,09ab098c-283d-457f-8996-efa4b94539f7,962796648966,,العقبة، خلف السيفوي، فلل المهندسين - قرب محكمة ضريبة الدخل
جمعية المنشية للتربية الخاصة,توحد,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,cb9b0125-885f-41ab-b3ed-cfa2674f05fa,,,المفرق، منشية بني حسن
جمعية كفرنجة الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,09baaaa0-ba5f-4f86-addf-e675696a75df,962795639172,abujalalb@gmail.com,عجلون، كفرنجة، طريق الأغوار - الحي الغربي الشمالي
مركز تنمية المجتمع المحلي,إعاقات حركية,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,22522ac3-e4a1-4e0e-af39-a73d6c0b5c6c,962772103399,,إربد، لواء الرمثا، الطرة، وسط البلد - دوار أمنية
مركز الزرقاء الشامل للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,الزرقاء|جهة حكومية,الأردن,2f8bb759-f61b-4185-8f0f-2a21bdd8f240,,,الزرقاء، جبل طارق، خلف المحافظة
مدارس دار الأرقم الإسلامية وعمان الدولية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,1f396625-c63a-4dd0-ad58-c1c5bb1ffd49,962798518280,thaqafa150@yahoo.com,عمان، ضاحية الرشيد، شارع كمال منكو - قرب هيئة تنظيم قطاع النقل العام
مركز الرجاء للتربية الخاصة,صعوبات تعلم,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,70f0b51a-7f52-4477-9ffd-3e9259c0f98d,,,عمان، رأس العين، حي الزهور، شارع ميمونة بنت الحارث - قرب غابة شهداء عمان - بناية رقم 86
