0,1,2,3,4,5,6,7,8
مركز مخيم الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir35,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة
مركز الإيمان,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir36,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح
مركز الوسطية,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir37,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
مركز الضليل,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir38,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
مركز أيتام مخيم الطالبية,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir39,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار
مركز أيتام البيادر,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir40,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس
مركز أيتام مخيم غزة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir41,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي
مركز أيتام مخيم مادبا,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir42,962780010903,Madaba@islamcc.org,مادبا	_ مخيم مادبا _ الشارع الرئيسي 
مركز فرع الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir43,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق
مركز المفرق,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir45,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة
مركز الكورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir46,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري
مركز أبو هريرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir47,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية
مركز الغور الصافي,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir48,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي
مركز غور المزرعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir49,962795915292,,الكرك	_ الأغوار الجنوبية _ غور المزرعة
مركز مخيم سوف,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir50,962796559042,hadiaserha27@gmail.com,جرش	 _ مخيم سوف _ الشارع الرئيسي
مركز أيتام مخيم حطين,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir51,962781144988,Mmarkaz@yahoo.com,الزرقاء _ الرصيفة	_ مخيم حطين 
مركز أيتام البقعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir52,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة
مركز أيتام الرصيفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir53,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة
مركز الوحدات,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir54,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir55,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف
مركز مخيم اربد,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir56,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي
مركز صويلح,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir57,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح
مركز أيتام المزار الجنوبي,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir58,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار
مركز أيتام المقابلين,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir59,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين
نايا للتدريب والتنمية المجتمعية,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir60,962795109703,Info@Nayajo.org,الزرقاء
مبادرة بهجة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir61,962795234194,lumajamjoum8@gmail.com,عمان
آدم ومشمش,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir62,962797644765,luma@Adamwamishmish.com,عمان
نشاطات صديق,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir63,962777392255,info@sdeq.com.jo,متوفر إلكترونياً
مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir64,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
مركز النور,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir65,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية
مركز الجوفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir66,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة
مركز عز الدين القسام,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir67,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
مركز العابورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir68,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم
مركز عزمي المفتي,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir69,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
مجموعة الكرك للدعم الأسري,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir70,962796312168,,الكرك، مدرسة المنشية الثانوية الشاملة للبنات
مجموعة جرش للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir71,962796921189,,جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية
مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir72,962796062765,,مأدبا، بيت اللقاء
مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir73,962795062153,,البلقاء، عين الباشا، مركز المنار للتنمية الفكرية
مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir74,962790960500,,المفرق، جمعية الأصايل للإبداع والفن التشكيلي
مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir75,962795577686,,الزرقاء، مجمع النقابات المهنية
مجموعة إربد للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir76,,,اربد، ديوان آل حجازي
مجموعة السلط للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir77,962797015159,,السلط، جمعية موسى الساكت للتنمية
مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir78,,,عمان، جبل النظيف، مؤسسة رواد التنمية
مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir79,,,عمان، البنيات، جمعية الشابات المسلمات في البنيات
مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir80,,,عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة
مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir81,,,البلقاء، الفحيص، مركز نازك الحريري
مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir82,,,عمان، الوحدات، حديقة ومكتبة البشائر
مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir83,,,عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة
مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,habdir84,,,عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع
مركز المنار للتنمية الفكرية / زي,مجموعات دعم أسري,المراكز والمؤسسات,البلقاء|جهة حكومية,الأردن,habdir85,962779808090,,البلقاء، زي، قرب مسجد زي
مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات متعددة,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,habdir86,962772281832,alrajaaschool@yahoo.com,الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال
جمعية رعاية المعوقين,إعاقات سمعية,المراكز والمؤسسات,الكرك|جهة تطوعية,الأردن,habdir87,,,الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل
مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,habdir88,962797660334,mhmmaddwekat44@gmail.com,عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان
مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,habdir89,962776944821,,عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir90,,,المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,habdir91,,,إربد، لواء الرمثا
مدرسة الفنار الأساسية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,habdir92,962796186461,,الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية
جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,habdir93,962788337515,info@sana.org.jo,عمان، الدوار السابع، شارع عبدالله غوشة
مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir94,962779808090,hope_yes@hotmail.com,عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏
أكاديمية سوا للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir95,962790902245,sawa.academy18@gmail.com,عمان، الرابية، بالقرب من مدارس كامبردج
مركز لبنى للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir96,962791017001,lubnacfse@gmail.com,عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3
جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir97,962799904333,,المفرق، الشارع الرئيسي، بالقرب من البلدية
جمعية السرحان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir98,962799650343,alserhansfse@gmail.com,المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة
مركز CDR لذوي الاعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir99,962772639073,beboo_198399@yahoo.com,عمان، الجبيهة، شارع ياجوز
جمعية التصلب اللويحي المتعدد الخيرية,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,habdir100,962772055433,,عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة
مركز لوفاس للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir101,962797763536,lovaas.center@yahoo.com,عمان، مرج الحمام، قرب دوار الجندي
مدرسة الأمل الأساسية للصم,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,habdir102,962792269197,alamaldeafammanfirst66@yahoo.com,عمان، ماركا، حي العبدللات - قرب حلويات النجمة
مركز العقبة الشامل للتربية الخاصة,إعاقات سمعية,المراكز والمؤسسات,العقبة|جهة حكومية,الأردن,habdir103,962772136501,,العقبة، المنطقة الخامسة، شارع الملك عبدالله - بجانب مدرسة البطريك ثيودورس الاول
مركز آية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir104,962796454538,aya_sec@yahoo.com,عمان، ماركا الشمالية، حي المزارع، شارع منصور السرحان - بناية 17
مركز التأهيل والتشغيل المهني,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,habdir105,962795404949,,إربد، حي القصيلة، غرب مجمع الأغوار الجديد
جمعية الأمل للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,habdir106,962778431315,alamal1236@yahoo.com,إربد، ايدون	الحي الغربي، قرب ديوان الخصاونة 
مركز روح الشرق للتطوير,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir107,,info@orientspirit.net,عمان، الدوار السابع، شارع ابراهيم قطان - مبنى رقم 62
جمعية جابر للتنمية الإجتماعية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir108,,,المفرق، جابر السرحان، الحي الشمالي - بالقرب من مدرسة جابر السرحان الثانوية
المدرسة الإنجيلية الأسقفية العربية,إعاقات حركية,المراكز والمؤسسات,إربد|جهة خاصة,الأردن,habdir109,962779089374,stjohn_b@hotmail.com,إربد، شارع البارحة، خلف جمعية آل حداد
مدرسة المخلص الإنجيلية الأسقفية العربية,إعاقات بصرية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,habdir110,,ses.1995@yahoo.com,الزرقاء، شارع الأمير نايف، مقابل مدرسة الروم الأرثدوكس
شركة مركز إنجاز للتوحد,إعاقات بصرية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir111,962776581322,info@enjaz-autsim.com,عمان، شفا بدران، خلف جامعة العلوم التطبيقية، بجانب مسجد الشهيد محمود الكايد - فيلا رقم (42)
مركز أصدقاء التوحد الخيري,توحد,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,habdir112,962796648966,,العقبة، خلف السيفوي، فلل المهندسين - قرب محكمة ضريبة الدخل
جمعية المنشية للتربية الخاصة,توحد,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir113,,,المفرق، منشية بني حسن
جمعية كفرنجة الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,habdir114,962795639172,abujalalb@gmail.com,عجلون، كفرنجة، طريق الأغوار - الحي الغربي الشمالي
مركز تنمية المجتمع المحلي,إعاقات حركية,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,habdir115,962772103399,,إربد، لواء الرمثا، الطرة، وسط البلد - دوار أمنية
مركز الزرقاء الشامل للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,الزرقاء|جهة حكومية,الأردن,habdir116,,,الزرقاء، جبل طارق، خلف المحافظة
مدارس دار الأرقم الإسلامية وعمان الدولية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir117,962798518280,thaqafa150@yahoo.com,عمان، ضاحية الرشيد، شارع كمال منكو - قرب هيئة تنظيم قطاع النقل العام
مركز الرجاء للتربية الخاصة,صعوبات تعلم,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir118,,,عمان، رأس العين، حي الزهور، شارع ميمونة بنت الحارث - قرب غابة شهداء عمان - بناية رقم 86
مركز أبو حطب للعلاج الطبيعي,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir119,,,عمان، صويلح، شارع الملكة رانيا، إشارة الدوريات - بناء (383)
المدرسة النموذجية للشلل الدماغي,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,habdir120,962795546972,cp_school_ammanfirst@yahoo.com,عمان، الشميساني، شارع رفعت الصليبي - بناية رقم 16
أكاديمية طوبى للتربية الخاصة وتنمية القدرات,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir121,,,عمان، شارع مكة، خلف محطة السندباد للمحروقات
أكاديمية التميز الشامل,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,habdir122,962795516721,,عمان، شارع الأردن، قرب جامعة عمان العربية
جمعية الصداقة الأردنية الخيرية لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,habdir123,962797134415,,عمان، القويسمة، خلف كازية العصيوي _ مقابل عيادة جنى
المركز الإستشاري للتوحد,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir124,962795557769,,عمان، شفا بدران، بجانب القيادة العامة لقوات الدرك
مركز المنار للتنمية الفكرية / المفرق,توحد,المراكز والمؤسسات,المفرق|جهة حكومية,الأردن,habdir125,,tahabk@yahoo.com,المفرق، الرويشد، الشارع الرئيسي - جانب المؤسسة الإستهلاكية
مركز المنار للتنمية الفكرية /عجلون,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية|عجلون,الأردن,habdir127,,,عجلون، عنجرة، طريق عمان القديم، حي سرارة - بجانب مكتب د.محمود ابو خلف
مدرسة الأمل الثانوية المختلطة للصم,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,habdir128,,alamaldeafammanfirst66@yahoo.com,عمان، جبل اللويبدة، قرب دوار باريس - بجانب المركز الصحي الشامل ومؤسسة الأيتام
جمعية الجنوب للتربية الخاصة,إعاقات سمعية,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,habdir129,,ssmaan1996@yahoo.com,معان، السطح، الطريق الصحراوي - قرب بيت التنمية والقرى
جمعية الطيبة الجنوبية لذوي الإحتياجات الخاصة /البتراء,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,habdir130,962777244883,,معان، لواء البتراء ، بلدة الطيبة، مقابل مكتب بريد الطيبة
جمعية مهارات لرعاية وتأهيل ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,habdir131,,tharwa_a@yahoo.com,معان، طريق أذرح، خلف مسجد ماريا القبطية
مركز المنار للتنمية الفكرية /أذرح,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|معان,الأردن,habdir132,962795020224,,معان، مكان الشرطة سابقاً
جمعية الأمل الخيرية /جرش,إعاقات ذهنية,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,habdir133,962779526856,,جرش، بناية الإتحاد العام للجمعيات الخيرية
جمعية أم الزيتون الخيرية,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,habdir134,962772409099,,جرش، أم الزيتون، بجانب مدرسة الذكور
جمعية جرش لرعاية ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,habdir135,962772091303,,جرش، شارع المفرق، بناية الإتحاد العام للجمعيات الخيرية
جمعية قفقفا للتنمية الاجتماعية,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,habdir136,962772203004,,جرش، قفقفا، بجانب مسجد خباب بن الأرت
مركز التأهيل المجتمعي للأشخاص ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة دولية,الأردن,habdir137,962795343339,jerashcbrc@yahoo.com,جرش، مخيم جرش، خلف مدارس وكالة الغوث - شارع الحدادة
مركز نور الحياة للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة خاصة,الأردن,habdir138,,ayasrah_68@hotmail.com,جرش، حي ظهر السرو، قرب مدرسة جرش الأهلية
جمعية أم القطين لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,habdir139,962772167979,,المفرق، لواء البادية الشرقية، قضاء أم القطين
مركز سيدة السلام لذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,habdir140,962777966829,,العقبة، المنطقة الثامنة، بجانب مسجد الرياطي
جمعية أجيال الخيرية,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,habdir141,,ajyalaqaba@yahoo.com,العقبة، وسط البلد، بجانب مركز أمن المدينة
جمعية البادية الجنوبية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,habdir142,962777327856,,العقبة، القويرة، حي العمران
مركز المنار للتنمية الفكرية / العقبة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة حكومية,الأردن,habdir143,,,العقبة، القويرة، الشارع الدولي عمان_ العقبة - مقابل مستشفى القويرة العسكري
