Title,Directory Categories,Directory Tags,uidd,com,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,,1473,المراكز والمؤسسات,الأردن,962795577686,,الزرقاء، مجمع النقابات المهنية 
مجموعة إربد للدعم الأسري,مجموعات دعم أسري,,1474,المراكز والمؤسسات,الأردن,,,اربد، ديوان آل حجازي 
مجموعة السلط للدعم الأسري,مجموعات دعم أسري,,1475,المراكز والمؤسسات,الأردن,962797015159,,السلط، جمعية موسى الساكت للتنمية 
مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,,1476,المراكز والمؤسسات,الأردن,,,عمان، جبل النظيف، مؤسسة رواد التنمية 
مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,,1477,المراكز والمؤسسات,الأردن,,,عمان، البنيات، جمعية الشابات المسلمات في البنيات 
مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,,1478,المراكز والمؤسسات,الأردن,,,عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة 
مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,,1479,المراكز والمؤسسات,الأردن,,,البلقاء، الفحيص، مركز نازك الحريري 
مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,,1480,المراكز والمؤسسات,الأردن,,,عمان، الوحدات، حديقة ومكتبة البشائر 
مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,,1481,المراكز والمؤسسات,الأردن,,,عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة 
مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,,1482,المراكز والمؤسسات,الأردن,,,عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع
مركز المنار للتنمية الفكرية / زي,إعاقات متعددة,البلقاء;جهة حكومية,1483,المراكز والمؤسسات,الأردن,962779808090,,البلقاء، زي، قرب مسجد زي 
مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات سمعية,الزرقاء;جهة خاصة,1484,المراكز والمؤسسات,الأردن,962772281832,alrajaaschool@yahoo.com,الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال
جمعية رعاية المعوقين,إعاقات ذهنية,الكرك;جهة تطوعية,1485,المراكز والمؤسسات,الأردن,,,الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل 
مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات متعددة,جهة تطوعية;عجلون,1486,المراكز والمؤسسات,الأردن,962797660334,mhmmaddwekat44@gmail.com,عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان 
مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات ذهنية,جهة حكومية;عمان,1487,المراكز والمؤسسات,الأردن,962776944821,,عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية 
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المفرق;جهة تطوعية,1488,المراكز والمؤسسات,الأردن,,,المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل 
مركز الأمل للتربية الخاصة,إعاقات ذهنية,إربد;جهة تطوعية,1489,المراكز والمؤسسات,الأردن,,,إربد، لواء الرمثا 
مدرسة الفنار الأساسية الخاصة,إعاقات متعددة,الزرقاء;جهة خاصة,1490,المراكز والمؤسسات,الأردن,962796186461,,الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية 
جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات ذهنية,جهة تطوعية;عمان,1491,المراكز والمؤسسات,الأردن,962788337515,info@sana.org.jo,عمان، الدوار السابع، شارع عبدالله غوشة 
مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات متعددة,جهة خاصة;عمان,1492,المراكز والمؤسسات,الأردن,962779808090,hope_yes@hotmail.com,عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏
أكاديمية سوا للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,1493,المراكز والمؤسسات,الأردن,962790902245,sawa.academy18@gmail.com,عمان، الرابية، بالقرب من مدارس كامبردج 
مركز لبنى للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,1494,المراكز والمؤسسات,الأردن,962791017001,lubnacfse@gmail.com,عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3 
جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المفرق;جهة تطوعية,1495,المراكز والمؤسسات,الأردن,962799904333,,المفرق، الشارع الرئيسي، بالقرب من البلدية 
جمعية السرحان للتربية الخاصة,إعاقات متعددة,المفرق;جهة تطوعية,1496,المراكز والمؤسسات,الأردن,962799650343,alserhansfse@gmail.com,المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة 
مركز CDR لذوي الاعاقة,إعاقات متعددة,جهة خاصة;عمان,1497,المراكز والمؤسسات,الأردن,962772639073,beboo_198399@yahoo.com,عمان، الجبيهة، شارع ياجوز 
جمعية التصلب اللويحي المتعدد الخيرية,إعاقات حركية,جهة تطوعية;عمان,1498,المراكز والمؤسسات,الأردن,962772055433,,عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة 
مركز لوفاس للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,1499,المراكز والمؤسسات,الأردن,962797763536,lovaas.center@yahoo.com,عمان، مرج الحمام، قرب دوار الجندي 
