uidd,Title,Directory Categories,com,Directory Tags,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
1413,مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779575143,,"فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين "
1414,مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962791890409,Makaniproject@yahoo.com, الطفيلة _ عين البيضا _ الشارع الرئيسي 
1415,جمعية جبل طارق,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات 
1416,مركز تنمية المجتمع المحلي العيص,أماكن صديقة,المراكز والمؤسسات,,الأردن,962789584052,,الطفيلة _ العيص _ شارع البلدية 
1417,مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772084203,,دير علا _ طوال الجنوبي 
1418,مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي 
1419,مركز حمزة - الشوبك,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة 
1420,مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777286062,K.darawsheh@yahoo.com, معان _ المريغة _ مقابل بلديه الشراه 
1421,مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779909092,," جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة "
1422,مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا 
1423,مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي 
1424,مركز ضرار,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة 
1425,مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين 
1426,مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة 
1427,مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية 
1428,جمعية بيت الكل الخيرية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين 
1429,مركز الحياة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795140098,azateemah@internationalmedicalcorps.org,"المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة "
1430,مركز الرجيب,أماكن صديقة,المراكز والمؤسسات,,الأردن,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام 
1431,مركز الكرك,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772677940,,"الكرك	_ الثنية _ مقابل المنظمة الدنماركية"
1432,مركز الدبايبة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين 
1433,مركز مخيم الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة 
1434,مركز الإيمان,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح 
1435,مركز الوسطية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
1436,مركز الضليل,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
1437,مركز أيتام مخيم الطالبية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار 
1438,مركز أيتام البيادر,أماكن صديقة,المراكز والمؤسسات,,الأردن,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس 
1439,مركز أيتام مخيم غزة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي 
1440,مركز أيتام مخيم مادبا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010903,Madaba@islamcc.org,"مادبا	_ مخيم مادبا _ الشارع الرئيسي "
1441,مركز فرع الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق 
1443,مركز المفرق,أماكن صديقة,المراكز والمؤسسات,,الأردن,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة 
1444,مركز الكورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري 
1445,مركز أبو هريرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية 
1446,مركز الغور الصافي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي 
1447,مركز غور المزرعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795915292,,"الكرك	_ الأغوار الجنوبية _ غور المزرعة"
1448,مركز مخيم سوف,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796559042,hadiaserha27@gmail.com,"جرش	 _ مخيم سوف _ الشارع الرئيسي"
1449,مركز أيتام مخيم حطين,أماكن صديقة,المراكز والمؤسسات,,الأردن,962781144988,Mmarkaz@yahoo.com,"الزرقاء _ الرصيفة	_ مخيم حطين "
1450,مركز أيتام البقعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة 
1451,مركز أيتام الرصيفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة 
1452,مركز الوحدات,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
1453,مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف 
1454,مركز مخيم اربد,أماكن صديقة,المراكز والمؤسسات,,الأردن,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي 
1455,مركز صويلح,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح 
1456,مركز أيتام المزار الجنوبي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار 
1457,مركز أيتام المقابلين,أماكن صديقة,المراكز والمؤسسات,,الأردن,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين 
1458,نايا للتدريب والتنمية المجتمعية,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962795109703,Info@Nayajo.org,الزرقاء 
1459,مبادرة بهجة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962795234194,lumajamjoum8@gmail.com,عمان 
1460,آدم ومشمش,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797644765,luma@Adamwamishmish.com,عمان 
1461,نشاطات صديق,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962777392255,info@sdeq.com.jo,متوفر إلكترونياً 
1462,"مبادرة متلازمة داون معنا، حياتنا لها معنى",مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
1463,مركز النور,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية 
1464,مركز الجوفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة 
1465,مركز عز الدين القسام,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
1466,مركز العابورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم 
1467,مركز عزمي المفتي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
1468,مجموعة الكرك للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962796312168,,"الكرك، مدرسة المنشية الثانوية الشاملة للبنات "
1469,مجموعة جرش للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962796921189,,"جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية "
1470,مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962796062765,,"مأدبا، بيت اللقاء "
1471,مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962795062153,,"البلقاء، عين الباشا، مركز المنار للتنمية الفكرية "
1472,مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962790960500,,"المفرق، جمعية الأصايل للإبداع والفن التشكيلي "
1473,مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962795577686,,"الزرقاء، مجمع النقابات المهنية "
1474,مجموعة إربد للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"اربد، ديوان آل حجازي "
1475,مجموعة السلط للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962797015159,,"السلط، جمعية موسى الساكت للتنمية "
1476,مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، جبل النظيف، مؤسسة رواد التنمية "
1477,مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، البنيات، جمعية الشابات المسلمات في البنيات "
1478,مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة "
1479,مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"البلقاء، الفحيص، مركز نازك الحريري "
1480,مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، الوحدات، حديقة ومكتبة البشائر "
1481,مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة "
1482,مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,"عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع"
1483,مركز المنار للتنمية الفكرية / زي,إعاقات متعددة,المراكز والمؤسسات,البلقاء;جهة حكومية,الأردن,962779808090,,"البلقاء، زي، قرب مسجد زي "
1484,مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات سمعية,المراكز والمؤسسات,الزرقاء;جهة خاصة,الأردن,962772281832,alrajaaschool@yahoo.com,"الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال"
1485,جمعية رعاية المعوقين,إعاقات ذهنية,المراكز والمؤسسات,الكرك;جهة تطوعية,الأردن,,,"الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل "
1486,مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;عجلون,الأردن,962797660334,mhmmaddwekat44@gmail.com,"عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان "
1487,مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية;عمان,الأردن,962776944821,,"عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية "
1488,مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,,,"المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل "
1489,مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,إربد;جهة تطوعية,الأردن,,,"إربد، لواء الرمثا "
1490,مدرسة الفنار الأساسية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الزرقاء;جهة خاصة,الأردن,962796186461,,"الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية "
1491,جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962788337515,info@sana.org.jo,"عمان، الدوار السابع، شارع عبدالله غوشة "
1492,مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962779808090,hope_yes@hotmail.com,"عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏"
1493,أكاديمية سوا للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962790902245,sawa.academy18@gmail.com,"عمان، الرابية، بالقرب من مدارس كامبردج "
1494,مركز لبنى للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962791017001,lubnacfse@gmail.com,"عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3 "
1495,جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,962799904333,,"المفرق، الشارع الرئيسي، بالقرب من البلدية "
1496,جمعية السرحان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,962799650343,alserhansfse@gmail.com,"المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة "
1497,مركز CDR لذوي الاعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962772639073,beboo_198399@yahoo.com,"عمان، الجبيهة، شارع ياجوز "
1498,جمعية التصلب اللويحي المتعدد الخيرية,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962772055433,,"عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة "
1499,مركز لوفاس للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962797763536,lovaas.center@yahoo.com,"عمان، مرج الحمام، قرب دوار الجندي "
1500,مدرسة الأمل الأساسية للصم,إعاقات سمعية,المراكز والمؤسسات,جهة حكومية;عمان,الأردن,962792269197,alamaldeafammanfirst66@yahoo.com,"عمان، ماركا، حي العبدللات - قرب حلويات النجمة "
1501,مركز العقبة الشامل للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة;جهة حكومية,الأردن,962772136501,,"العقبة، المنطقة الخامسة، شارع الملك عبدالله - بجانب مدرسة البطريك ثيودورس الاول "
1502,مركز آية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962796454538,aya_sec@yahoo.com,"عمان، ماركا الشمالية، حي المزارع، شارع منصور السرحان - بناية 17 "
1503,مركز التأهيل والتشغيل المهني,إعاقات متعددة,المراكز والمؤسسات,إربد;جهة حكومية,الأردن,962795404949,,"إربد، حي القصيلة، غرب مجمع الأغوار الجديد "
1504,جمعية الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,إربد;جهة تطوعية,الأردن,962778431315,alamal1236@yahoo.com,"إربد، ايدون	الحي الغربي، قرب ديوان الخصاونة "
1505,مركز روح الشرق للتطوير,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,info@orientspirit.net,"عمان، الدوار السابع، شارع ابراهيم قطان - مبنى رقم 62"
1506,جمعية جابر للتنمية الإجتماعية,إعاقات حركية,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,,,"المفرق، جابر السرحان، الحي الشمالي - بالقرب من مدرسة جابر السرحان الثانوية "
1507,المدرسة الإنجيلية الأسقفية العربية,إعاقات بصرية,المراكز والمؤسسات,إربد;جهة خاصة,الأردن,962779089374,stjohn_b@hotmail.com,"إربد، شارع البارحة، خلف جمعية آل حداد "
1508,مدرسة المخلص الإنجيلية الأسقفية العربية,إعاقات بصرية,المراكز والمؤسسات,الزرقاء;جهة خاصة,الأردن,,ses.1995@yahoo.com,"الزرقاء، شارع الأمير نايف، مقابل مدرسة الروم الأرثدوكس"
1509,شركة مركز إنجاز للتوحد,توحد,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962776581322,info@enjaz-autsim.com,"عمان، شفا بدران، خلف جامعة العلوم التطبيقية، بجانب مسجد الشهيد محمود الكايد - فيلا رقم (42)"
1510,مركز أصدقاء التوحد الخيري,توحد,المراكز والمؤسسات,العقبة;جهة تطوعية,الأردن,962796648966,,"العقبة، خلف السيفوي، فلل المهندسين - قرب محكمة ضريبة الدخل "
1511,جمعية المنشية للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,,,"المفرق، منشية بني حسن "
1512,جمعية كفرنجة الخيرية,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية;عجلون,الأردن,962795639172,abujalalb@gmail.com,"عجلون، كفرنجة، طريق الأغوار - الحي الغربي الشمالي "
1513,مركز تنمية المجتمع المحلي,إعاقات حركية,المراكز والمؤسسات,إربد;جهة حكومية,الأردن,962772103399,,"إربد، لواء الرمثا، الطرة، وسط البلد - دوار أمنية "
1514,مركز الزرقاء الشامل للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الزرقاء;جهة حكومية,الأردن,,,"الزرقاء، جبل طارق، خلف المحافظة"
1515,مدارس دار الأرقم الإسلامية وعمان الدولية,صعوبات تعلم,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962798518280,thaqafa150@yahoo.com,"عمان، ضاحية الرشيد، شارع كمال منكو - قرب هيئة تنظيم قطاع النقل العام "
1516,مركز الرجاء للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,,"عمان، رأس العين، حي الزهور، شارع ميمونة بنت الحارث - قرب غابة شهداء عمان - بناية رقم 86"
1517,مركز أبو حطب للعلاج الطبيعي,إعاقات حركية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,,"عمان، صويلح، شارع الملكة رانيا، إشارة الدوريات - بناء (383)"
1518,المدرسة النموذجية للشلل الدماغي,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962795546972,cp_school_ammanfirst@yahoo.com,"عمان، الشميساني، شارع رفعت الصليبي - بناية رقم 16"
1519,أكاديمية طوبى للتربية الخاصة وتنمية القدرات,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,,"عمان، شارع مكة، خلف محطة السندباد للمحروقات "
1520,أكاديمية التميز الشامل,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962795516721,,"عمان، شارع الأردن، قرب جامعة عمان العربية "
1521,جمعية الصداقة الأردنية الخيرية لذوي الإحتياجات الخاصة,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962797134415,,"عمان، القويسمة، خلف كازية العصيوي _ مقابل عيادة جنى "
1522,المركز الإستشاري للتوحد,توحد,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795557769,,"عمان، شفا بدران، بجانب القيادة العامة لقوات الدرك "
1523,مركز المنار للتنمية الفكرية / المفرق,إعاقات ذهنية,المراكز والمؤسسات,المفرق;جهة حكومية,الأردن,,tahabk@yahoo.com,"المفرق، الرويشد، الشارع الرئيسي - جانب المؤسسة الإستهلاكية"
1524,مركز المنار للتنمية الفكرية /عجلون,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية;عجلون,الأردن,,,"عجلون، عنجرة، طريق عمان القديم، حي سرارة - بجانب مكتب د.محمود ابو خلف"
1525,مدرسة الأمل الثانوية المختلطة للصم,إعاقات سمعية,المراكز والمؤسسات,جهة حكومية;عمان,الأردن,,alamaldeafammanfirst66@yahoo.com,"عمان، جبل اللويبدة، قرب دوار باريس - بجانب المركز الصحي الشامل ومؤسسة الأيتام"
1526,جمعية الجنوب للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;معان,الأردن,,ssmaan1996@yahoo.com,"معان، السطح، الطريق الصحراوي - قرب بيت التنمية والقرى"
1527,جمعية الطيبة الجنوبية لذوي الإحتياجات الخاصة /البتراء,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;معان,الأردن,962777244883,,"معان، لواء البتراء ، بلدة الطيبة، مقابل مكتب بريد الطيبة "
1528,جمعية مهارات لرعاية وتأهيل ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;معان,الأردن,,tharwa_a@yahoo.com,"معان، طريق أذرح، خلف مسجد ماريا القبطية "
1529,مركز المنار للتنمية الفكرية /أذرح,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية;معان,الأردن,962795020224,,"معان، مكان الشرطة سابقاً"
1530,جمعية الأمل الخيرية /جرش,إعاقات متعددة,المراكز والمؤسسات,جرش;جهة تطوعية,الأردن,962779526856,,"جرش، بناية الإتحاد العام للجمعيات الخيرية "
1531,جمعية أم الزيتون الخيرية,إعاقات متعددة,المراكز والمؤسسات,جرش;جهة تطوعية,الأردن,962772409099,,"جرش، أم الزيتون، بجانب مدرسة الذكور "
1532,جمعية جرش لرعاية ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جرش;جهة تطوعية,الأردن,962772091303,,"جرش، شارع المفرق، بناية الإتحاد العام للجمعيات الخيرية "
1533,جمعية قفقفا للتنمية الاجتماعية,إعاقات متعددة,المراكز والمؤسسات,جرش;جهة تطوعية,الأردن,962772203004,,"جرش، قفقفا، بجانب مسجد خباب بن الأرت"
1534,مركز التأهيل المجتمعي للأشخاص ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جرش;جهة دولية,الأردن,962795343339,jerashcbrc@yahoo.com,"جرش، مخيم جرش، خلف مدارس وكالة الغوث - شارع الحدادة"
1535,مركز نور الحياة للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جرش;جهة خاصة,الأردن,,ayasrah_68@hotmail.com,"جرش، حي ظهر السرو، قرب مدرسة جرش الأهلية "
1536,جمعية أم القطين لذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,المفرق;جهة تطوعية,الأردن,962772167979,,"المفرق، لواء البادية الشرقية، قضاء أم القطين "
1537,مركز سيدة السلام لذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة;جهة تطوعية,الأردن,962777966829,,"العقبة، المنطقة الثامنة، بجانب مسجد الرياطي"
1538,جمعية أجيال الخيرية,إعاقات متعددة,المراكز والمؤسسات,العقبة;جهة تطوعية,الأردن,,ajyalaqaba@yahoo.com,"العقبة، وسط البلد، بجانب مركز أمن المدينة "
1539,جمعية البادية الجنوبية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة;جهة تطوعية,الأردن,962777327856,,"العقبة، القويرة، حي العمران  "
1540,مركز المنار للتنمية الفكرية / العقبة,إعاقات ذهنية,المراكز والمؤسسات,العقبة;جهة حكومية,الأردن,,,"العقبة، القويرة، الشارع الدولي عمان_ العقبة - مقابل مستشفى القويرة العسكري"
