Title,Directory Categories,Directory Tags,com,uid,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1410,الأردن,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1411,الأردن,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب 
مركز تنمية المجتمع المحلي الرويشد,أماكن صديقة,,المراكز والمؤسسات,1412,الأردن,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية 
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,,المراكز والمؤسسات,1413,الأردن,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين 
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,,المراكز والمؤسسات,1414,الأردن,962791890409,Makaniproject@yahoo.com, الطفيلة _ عين البيضا _ الشارع الرئيسي 
جمعية جبل طارق,أماكن صديقة,,المراكز والمؤسسات,1415,الأردن,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات 
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,,المراكز والمؤسسات,1416,الأردن,962789584052,,الطفيلة _ العيص _ شارع البلدية 
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,,المراكز والمؤسسات,1417,الأردن,962772084203,,دير علا _ طوال الجنوبي 
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,,المراكز والمؤسسات,1418,الأردن,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي 
مركز حمزة - الشوبك,أماكن صديقة,,المراكز والمؤسسات,1419,الأردن,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة 
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,,المراكز والمؤسسات,1420,الأردن,962777286062,K.darawsheh@yahoo.com, معان _ المريغة _ مقابل بلديه الشراه 
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,,المراكز والمؤسسات,1421,الأردن,962779909092,, جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة 
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,,المراكز والمؤسسات,1422,الأردن,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا 
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,,المراكز والمؤسسات,1423,الأردن,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي 
مركز ضرار,أماكن صديقة,,المراكز والمؤسسات,1424,الأردن,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة 
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,,المراكز والمؤسسات,1425,الأردن,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين 
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,,المراكز والمؤسسات,1426,الأردن,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة 
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,,المراكز والمؤسسات,1427,الأردن,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية 
جمعية بيت الكل الخيرية,أماكن صديقة,,المراكز والمؤسسات,1428,الأردن,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين 
مركز الحياة,أماكن صديقة,,المراكز والمؤسسات,1429,الأردن,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة 
مركز الرجيب,أماكن صديقة,,المراكز والمؤسسات,1430,الأردن,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام 
مركز الكرك,أماكن صديقة,,المراكز والمؤسسات,1431,الأردن,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
مركز الدبايبة,أماكن صديقة,,المراكز والمؤسسات,1432,الأردن,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين 
مركز مخيم الزرقاء,أماكن صديقة,,المراكز والمؤسسات,1433,الأردن,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة 
مركز الإيمان,أماكن صديقة,,المراكز والمؤسسات,1434,الأردن,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح 
مركز الوسطية,أماكن صديقة,,المراكز والمؤسسات,1435,الأردن,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
مركز الضليل,أماكن صديقة,,المراكز والمؤسسات,1436,الأردن,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
مركز أيتام مخيم الطالبية,أماكن صديقة,,المراكز والمؤسسات,1437,الأردن,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار 
مركز أيتام البيادر,أماكن صديقة,,المراكز والمؤسسات,1438,الأردن,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس 
مركز أيتام مخيم غزة,أماكن صديقة,,المراكز والمؤسسات,1439,الأردن,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي 
مركز أيتام مخيم مادبا,أماكن صديقة,,المراكز والمؤسسات,1440,الأردن,962780010903,Madaba@islamcc.org,مادبا	_ مخيم مادبا _ الشارع الرئيسي 
مركز فرع الزرقاء,أماكن صديقة,,المراكز والمؤسسات,1441,الأردن,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق 
مركز المفرق,أماكن صديقة,,المراكز والمؤسسات,1443,الأردن,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة 
مركز الكورة,أماكن صديقة,,المراكز والمؤسسات,1444,الأردن,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري 
مركز أبو هريرة,أماكن صديقة,,المراكز والمؤسسات,1445,الأردن,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية 
مركز الغور الصافي,أماكن صديقة,,المراكز والمؤسسات,1446,الأردن,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي 
مركز غور المزرعة,أماكن صديقة,,المراكز والمؤسسات,1447,الأردن,962795915292,,الكرك	_ الأغوار الجنوبية _ غور المزرعة
مركز مخيم سوف,أماكن صديقة,,المراكز والمؤسسات,1448,الأردن,962796559042,hadiaserha27@gmail.com,جرش	 _ مخيم سوف _ الشارع الرئيسي
مركز أيتام مخيم حطين,أماكن صديقة,,المراكز والمؤسسات,1449,الأردن,962781144988,Mmarkaz@yahoo.com,الزرقاء _ الرصيفة	_ مخيم حطين 
مركز أيتام البقعة,أماكن صديقة,,المراكز والمؤسسات,1450,الأردن,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة 
مركز أيتام الرصيفة,أماكن صديقة,,المراكز والمؤسسات,1451,الأردن,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة 
مركز الوحدات,أماكن صديقة,,المراكز والمؤسسات,1452,الأردن,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,,المراكز والمؤسسات,1453,الأردن,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف 
مركز مخيم اربد,أماكن صديقة,,المراكز والمؤسسات,1454,الأردن,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي 
مركز صويلح,أماكن صديقة,,المراكز والمؤسسات,1455,الأردن,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح 
مركز أيتام المزار الجنوبي,أماكن صديقة,,المراكز والمؤسسات,1456,الأردن,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار 
مركز أيتام المقابلين,أماكن صديقة,,المراكز والمؤسسات,1457,الأردن,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين 
نايا للتدريب والتنمية المجتمعية,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1458,الأردن,962795109703,Info@Nayajo.org,الزرقاء 
مبادرة بهجة,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1459,الأردن,962795234194,lumajamjoum8@gmail.com,عمان 
آدم ومشمش,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1460,الأردن,962797644765,luma@Adamwamishmish.com,عمان 
نشاطات صديق,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1461,الأردن,962777392255,info@sdeq.com.jo,متوفر إلكترونياً 
مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1462,الأردن,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
مركز النور,أماكن صديقة,,المراكز والمؤسسات,1463,الأردن,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية 
مركز الجوفة,أماكن صديقة,,المراكز والمؤسسات,1464,الأردن,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة 
مركز عز الدين القسام,أماكن صديقة,,المراكز والمؤسسات,1465,الأردن,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
مركز العابورة,أماكن صديقة,,المراكز والمؤسسات,1466,الأردن,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم 
مركز عزمي المفتي,أماكن صديقة,,المراكز والمؤسسات,1467,الأردن,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
مجموعة الكرك للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1468,الأردن,962796312168,,الكرك، مدرسة المنشية الثانوية الشاملة للبنات 
مجموعة جرش للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1469,الأردن,962796921189,,جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية 
مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1470,الأردن,962796062765,,مأدبا، بيت اللقاء 
مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1471,الأردن,962795062153,,البلقاء، عين الباشا، مركز المنار للتنمية الفكرية 
مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1472,الأردن,962790960500,,المفرق، جمعية الأصايل للإبداع والفن التشكيلي 
مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1473,الأردن,962795577686,,الزرقاء، مجمع النقابات المهنية 
مجموعة إربد للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1474,الأردن,,,اربد، ديوان آل حجازي 
مجموعة السلط للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1475,الأردن,962797015159,,السلط، جمعية موسى الساكت للتنمية 
مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1476,الأردن,,,عمان، جبل النظيف، مؤسسة رواد التنمية 
مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1477,الأردن,,,عمان، البنيات، جمعية الشابات المسلمات في البنيات 
مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1478,الأردن,,,عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة 
مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1479,الأردن,,,البلقاء، الفحيص، مركز نازك الحريري 
مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1480,الأردن,,,عمان، الوحدات، حديقة ومكتبة البشائر 
مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1481,الأردن,,,عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة 
مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,,المراكز والمؤسسات,1482,الأردن,,,عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع
مركز المنار للتنمية الفكرية / زي,إعاقات متعددة,البلقاء;جهة حكومية,المراكز والمؤسسات,1483,الأردن,962779808090,,البلقاء، زي، قرب مسجد زي 
مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات سمعية,الزرقاء;جهة خاصة,المراكز والمؤسسات,1484,الأردن,962772281832,alrajaaschool@yahoo.com,الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال
جمعية رعاية المعوقين,إعاقات ذهنية,الكرك;جهة تطوعية,المراكز والمؤسسات,1485,الأردن,,,الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل 
مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات متعددة,جهة تطوعية;عجلون,المراكز والمؤسسات,1486,الأردن,962797660334,mhmmaddwekat44@gmail.com,عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان 
مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات ذهنية,جهة حكومية;عمان,المراكز والمؤسسات,1487,الأردن,962776944821,,عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية 
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المفرق;جهة تطوعية,المراكز والمؤسسات,1488,الأردن,,,المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل 
مركز الأمل للتربية الخاصة,إعاقات ذهنية,إربد;جهة تطوعية,المراكز والمؤسسات,1489,الأردن,,,إربد، لواء الرمثا 
مدرسة الفنار الأساسية الخاصة,إعاقات متعددة,الزرقاء;جهة خاصة,المراكز والمؤسسات,1490,الأردن,962796186461,,الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية 
جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات ذهنية,جهة تطوعية;عمان,المراكز والمؤسسات,1491,الأردن,962788337515,info@sana.org.jo,عمان، الدوار السابع، شارع عبدالله غوشة 
مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1492,الأردن,962779808090,hope_yes@hotmail.com,عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏
أكاديمية سوا للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1493,الأردن,962790902245,sawa.academy18@gmail.com,عمان، الرابية، بالقرب من مدارس كامبردج 
مركز لبنى للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1494,الأردن,962791017001,lubnacfse@gmail.com,عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3 
جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المفرق;جهة تطوعية,المراكز والمؤسسات,1495,الأردن,962799904333,,المفرق، الشارع الرئيسي، بالقرب من البلدية 
جمعية السرحان للتربية الخاصة,إعاقات متعددة,المفرق;جهة تطوعية,المراكز والمؤسسات,1496,الأردن,962799650343,alserhansfse@gmail.com,المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة 
مركز CDR لذوي الاعاقة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1497,الأردن,962772639073,beboo_198399@yahoo.com,عمان، الجبيهة، شارع ياجوز 
جمعية التصلب اللويحي المتعدد الخيرية,إعاقات حركية,جهة تطوعية;عمان,المراكز والمؤسسات,1498,الأردن,962772055433,,عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة 
مركز لوفاس للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1499,الأردن,962797763536,lovaas.center@yahoo.com,عمان، مرج الحمام، قرب دوار الجندي 
مدرسة الأمل الأساسية للصم,إعاقات سمعية,جهة حكومية;عمان,المراكز والمؤسسات,1500,الأردن,962792269197,alamaldeafammanfirst66@yahoo.com,عمان، ماركا، حي العبدللات - قرب حلويات النجمة 
مركز العقبة الشامل للتربية الخاصة,إعاقات متعددة,العقبة;جهة حكومية,المراكز والمؤسسات,1501,الأردن,962772136501,,العقبة، المنطقة الخامسة، شارع الملك عبدالله - بجانب مدرسة البطريك ثيودورس الاول 
مركز آية للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1502,الأردن,962796454538,aya_sec@yahoo.com,عمان، ماركا الشمالية، حي المزارع، شارع منصور السرحان - بناية 17 
مركز التأهيل والتشغيل المهني,إعاقات متعددة,إربد;جهة حكومية,المراكز والمؤسسات,1503,الأردن,962795404949,,إربد، حي القصيلة، غرب مجمع الأغوار الجديد 
جمعية الأمل للتربية الخاصة,إعاقات ذهنية,إربد;جهة تطوعية,المراكز والمؤسسات,1504,الأردن,962778431315,alamal1236@yahoo.com,إربد، ايدون	الحي الغربي، قرب ديوان الخصاونة 
مركز روح الشرق للتطوير,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1505,الأردن,,info@orientspirit.net,عمان، الدوار السابع، شارع ابراهيم قطان - مبنى رقم 62
جمعية جابر للتنمية الإجتماعية,إعاقات حركية,المفرق;جهة تطوعية,المراكز والمؤسسات,1506,الأردن,,,المفرق، جابر السرحان، الحي الشمالي - بالقرب من مدرسة جابر السرحان الثانوية 
المدرسة الإنجيلية الأسقفية العربية,إعاقات بصرية,إربد;جهة خاصة,المراكز والمؤسسات,1507,الأردن,962779089374,stjohn_b@hotmail.com,إربد، شارع البارحة، خلف جمعية آل حداد 
مدرسة المخلص الإنجيلية الأسقفية العربية,إعاقات بصرية,الزرقاء;جهة خاصة,المراكز والمؤسسات,1508,الأردن,,ses.1995@yahoo.com,الزرقاء، شارع الأمير نايف، مقابل مدرسة الروم الأرثدوكس
شركة مركز إنجاز للتوحد,توحد,جهة خاصة;عمان,المراكز والمؤسسات,1509,الأردن,962776581322,info@enjaz-autsim.com,عمان، شفا بدران، خلف جامعة العلوم التطبيقية، بجانب مسجد الشهيد محمود الكايد - فيلا رقم (42)
مركز أصدقاء التوحد الخيري,توحد,العقبة;جهة تطوعية,المراكز والمؤسسات,1510,الأردن,962796648966,,العقبة، خلف السيفوي، فلل المهندسين - قرب محكمة ضريبة الدخل 
جمعية المنشية للتربية الخاصة,إعاقات ذهنية,المفرق;جهة تطوعية,المراكز والمؤسسات,1511,الأردن,,,المفرق، منشية بني حسن 
جمعية كفرنجة الخيرية,إعاقات حركية,جهة تطوعية;عجلون,المراكز والمؤسسات,1512,الأردن,962795639172,abujalalb@gmail.com,عجلون، كفرنجة، طريق الأغوار - الحي الغربي الشمالي 
مركز تنمية المجتمع المحلي,إعاقات حركية,إربد;جهة حكومية,المراكز والمؤسسات,1513,الأردن,962772103399,,إربد، لواء الرمثا، الطرة، وسط البلد - دوار أمنية 
مركز الزرقاء الشامل للتربية الخاصة,إعاقات متعددة,الزرقاء;جهة حكومية,المراكز والمؤسسات,1514,الأردن,,,الزرقاء، جبل طارق، خلف المحافظة
مدارس دار الأرقم الإسلامية وعمان الدولية,صعوبات تعلم,جهة خاصة;عمان,المراكز والمؤسسات,1515,الأردن,962798518280,thaqafa150@yahoo.com,عمان، ضاحية الرشيد، شارع كمال منكو - قرب هيئة تنظيم قطاع النقل العام 
مركز الرجاء للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,المراكز والمؤسسات,1516,الأردن,,,عمان، رأس العين، حي الزهور، شارع ميمونة بنت الحارث - قرب غابة شهداء عمان - بناية رقم 86
مركز أبو حطب للعلاج الطبيعي,إعاقات حركية,جهة خاصة;عمان,المراكز والمؤسسات,1517,الأردن,,,عمان، صويلح، شارع الملكة رانيا، إشارة الدوريات - بناء (383)
المدرسة النموذجية للشلل الدماغي,إعاقات حركية,جهة تطوعية;عمان,المراكز والمؤسسات,1518,الأردن,962795546972,cp_school_ammanfirst@yahoo.com,عمان، الشميساني، شارع رفعت الصليبي - بناية رقم 16
أكاديمية طوبى للتربية الخاصة وتنمية القدرات,إعاقات ذهنية,جهة خاصة;عمان,المراكز والمؤسسات,1519,الأردن,,,عمان، شارع مكة، خلف محطة السندباد للمحروقات 
أكاديمية التميز الشامل,إعاقات ذهنية,جهة تطوعية;عمان,المراكز والمؤسسات,1520,الأردن,962795516721,,عمان، شارع الأردن، قرب جامعة عمان العربية 
جمعية الصداقة الأردنية الخيرية لذوي الإحتياجات الخاصة,إعاقات حركية,جهة تطوعية;عمان,المراكز والمؤسسات,1521,الأردن,962797134415,,عمان، القويسمة، خلف كازية العصيوي _ مقابل عيادة جنى 
المركز الإستشاري للتوحد,توحد,جهة خاصة;عمان,المراكز والمؤسسات,1522,الأردن,962795557769,,عمان، شفا بدران، بجانب القيادة العامة لقوات الدرك 
مركز المنار للتنمية الفكرية / المفرق,إعاقات ذهنية,المفرق;جهة حكومية,المراكز والمؤسسات,1523,الأردن,,tahabk@yahoo.com,المفرق، الرويشد، الشارع الرئيسي - جانب المؤسسة الإستهلاكية
مركز المنار للتنمية الفكرية /عجلون,إعاقات ذهنية,جهة حكومية;عجلون,المراكز والمؤسسات,1524,الأردن,,,عجلون، عنجرة، طريق عمان القديم، حي سرارة - بجانب مكتب د.محمود ابو خلف
مدرسة الأمل الثانوية المختلطة للصم,إعاقات سمعية,جهة حكومية;عمان,المراكز والمؤسسات,1525,الأردن,,alamaldeafammanfirst66@yahoo.com,عمان، جبل اللويبدة، قرب دوار باريس - بجانب المركز الصحي الشامل ومؤسسة الأيتام
جمعية الجنوب للتربية الخاصة,إعاقات متعددة,جهة تطوعية;معان,المراكز والمؤسسات,1526,الأردن,,ssmaan1996@yahoo.com,معان، السطح، الطريق الصحراوي - قرب بيت التنمية والقرى
جمعية الطيبة الجنوبية لذوي الإحتياجات الخاصة /البتراء,إعاقات متعددة,جهة تطوعية;معان,المراكز والمؤسسات,1527,الأردن,962777244883,,معان، لواء البتراء ، بلدة الطيبة، مقابل مكتب بريد الطيبة 
جمعية مهارات لرعاية وتأهيل ذوي الإعاقة,إعاقات متعددة,جهة تطوعية;معان,المراكز والمؤسسات,1528,الأردن,,tharwa_a@yahoo.com,معان، طريق أذرح، خلف مسجد ماريا القبطية 
مركز المنار للتنمية الفكرية /أذرح,إعاقات ذهنية,جهة حكومية;معان,المراكز والمؤسسات,1529,الأردن,962795020224,,معان، مكان الشرطة سابقاً
جمعية الأمل الخيرية /جرش,إعاقات متعددة,جرش;جهة تطوعية,المراكز والمؤسسات,1530,الأردن,962779526856,,جرش، بناية الإتحاد العام للجمعيات الخيرية 
جمعية أم الزيتون الخيرية,إعاقات متعددة,جرش;جهة تطوعية,المراكز والمؤسسات,1531,الأردن,962772409099,,جرش، أم الزيتون، بجانب مدرسة الذكور 
جمعية جرش لرعاية ذوي الإحتياجات الخاصة,إعاقات متعددة,جرش;جهة تطوعية,المراكز والمؤسسات,1532,الأردن,962772091303,,جرش، شارع المفرق، بناية الإتحاد العام للجمعيات الخيرية 
جمعية قفقفا للتنمية الاجتماعية,إعاقات متعددة,جرش;جهة تطوعية,المراكز والمؤسسات,1533,الأردن,962772203004,,جرش، قفقفا، بجانب مسجد خباب بن الأرت
مركز التأهيل المجتمعي للأشخاص ذوي الإعاقة,إعاقات متعددة,جرش;جهة دولية,المراكز والمؤسسات,1534,الأردن,962795343339,jerashcbrc@yahoo.com,جرش، مخيم جرش، خلف مدارس وكالة الغوث - شارع الحدادة
مركز نور الحياة للتربية الخاصة,إعاقات ذهنية,جرش;جهة خاصة,المراكز والمؤسسات,1535,الأردن,,ayasrah_68@hotmail.com,جرش، حي ظهر السرو، قرب مدرسة جرش الأهلية 
جمعية أم القطين لذوي الإحتياجات الخاصة,إعاقات متعددة,المفرق;جهة تطوعية,المراكز والمؤسسات,1536,الأردن,962772167979,,المفرق، لواء البادية الشرقية، قضاء أم القطين 
مركز سيدة السلام لذوي الإحتياجات الخاصة,إعاقات متعددة,العقبة;جهة تطوعية,المراكز والمؤسسات,1537,الأردن,962777966829,,العقبة، المنطقة الثامنة، بجانب مسجد الرياطي
جمعية أجيال الخيرية,إعاقات متعددة,العقبة;جهة تطوعية,المراكز والمؤسسات,1538,الأردن,,ajyalaqaba@yahoo.com,العقبة، وسط البلد، بجانب مركز أمن المدينة 
جمعية البادية الجنوبية للتربية الخاصة,إعاقات متعددة,العقبة;جهة تطوعية,المراكز والمؤسسات,1539,الأردن,962777327856,,العقبة، القويرة، حي العمران  
مركز المنار للتنمية الفكرية / العقبة,إعاقات ذهنية,العقبة;جهة حكومية,المراكز والمؤسسات,1540,الأردن,,,العقبة، القويرة، الشارع الدولي عمان_ العقبة - مقابل مستشفى القويرة العسكري
جمعية الثغر لرعاية المعوقين,إعاقات ذهنية,العقبة;جهة تطوعية,المراكز والمؤسسات,1541,الأردن,,,العقبة، المنطقة السادسة، قرب إتحاد عام الجمعيات الخيرية
