0,1,2,3,4,5,6,7,8
habdir36,مركز الإيمان,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح
habdir37,مركز الوسطية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
habdir38,مركز الضليل,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
habdir39,مركز أيتام مخيم الطالبية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار
habdir40,مركز أيتام البيادر,أماكن صديقة,المراكز والمؤسسات,,الأردن,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس
habdir41,مركز أيتام مخيم غزة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي
habdir42,مركز أيتام مخيم مادبا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010903,Madaba@islamcc.org,مادبا	_ مخيم مادبا _ الشارع الرئيسي
habdir43,مركز فرع الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق
habdir44,مركز المفرق,أماكن صديقة,المراكز والمؤسسات,,الأردن,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة
habdir45,مركز الكورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري
habdir46,مركز أبو هريرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية
habdir47,مركز الغور الصافي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي
habdir48,مركز غور المزرعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795915292,,الكرك	_ الأغوار الجنوبية _ غور المزرعة
habdir49,مركز مخيم سوف,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796559042,hadiaserha27@gmail.com,جرش	 _ مخيم سوف _ الشارع الرئيسي
habdir50,مركز أيتام مخيم حطين,أماكن صديقة,المراكز والمؤسسات,,الأردن,962781144988,Mmarkaz@yahoo.com,الزرقاء _ الرصيفة	_ مخيم حطين
habdir51,مركز أيتام البقعة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة
habdir52,مركز أيتام الرصيفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة
habdir53,مركز الوحدات,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
habdir54,مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف
habdir55,مركز مخيم اربد,أماكن صديقة,المراكز والمؤسسات,,الأردن,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي
habdir56,مركز صويلح,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح
habdir57,مركز أيتام المزار الجنوبي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار
habdir58,مركز أيتام المقابلين,أماكن صديقة,المراكز والمؤسسات,,الأردن,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين
habdir59,نايا للتدريب والتنمية المجتمعية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795109703,Info@Nayajo.org,الزرقاء
habdir60,مبادرة بهجة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962795234194,lumajamjoum8@gmail.com,عمان
habdir61,آدم ومشمش,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797644765,luma@Adamwamishmish.com,عمان
habdir62,نشاطات صديق,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962777392255,info@sdeq.com.jo,متوفر إلكترونياً
habdir63,مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
habdir64,مركز النور,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية
habdir65,مركز الجوفة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة
habdir66,مركز عز الدين القسام,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
habdir67,مركز العابورة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم
habdir68,مركز عزمي المفتي,أماكن صديقة,المراكز والمؤسسات,,الأردن,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
habdir69,مجموعة الكرك للدعم الأسري,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796312168,,الكرك، مدرسة المنشية الثانوية الشاملة للبنات
habdir70,مجموعة جرش للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962796921189,,جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية
habdir71,مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962796062765,,مأدبا، بيت اللقاء
habdir72,مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962795062153,,البلقاء، عين الباشا، مركز المنار للتنمية الفكرية
habdir73,مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962790960500,,المفرق، جمعية الأصايل للإبداع والفن التشكيلي
habdir74,مجموعة الزرقاء للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962795577686,,الزرقاء، مجمع النقابات المهنية
habdir75,مجموعة إربد للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,اربد، ديوان آل حجازي
habdir76,مجموعة السلط للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,962797015159,,السلط، جمعية موسى الساكت للتنمية
habdir77,مجموعة جبل النظيف للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، جبل النظيف، مؤسسة رواد التنمية
habdir78,مجموعة البنيات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، البنيات، جمعية الشابات المسلمات في البنيات
habdir79,مجموعة القويسمة للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، القويسمة، مكتبة حديقة الحسن - الدفاع المدني في القويسمة
habdir80,مجموعة الفحيص للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,البلقاء، الفحيص، مركز نازك الحريري
habdir81,مجموعة الوحدات للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، الوحدات، حديقة ومكتبة البشائر
habdir82,مجموعة طبربور - جبل الحسين للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، طبربور _ جبل الحسين، جمعية أهالي وأصدقاء الأشخاص ذوي الإعاقة
habdir83,مجموعة جبل عمان للدعم الأسري,مجموعات دعم أسري,المراكز والمؤسسات,,الأردن,,,عمان، جبل عمان، عمارة أيليت، شارع عقبة بن نافع
habdir84,مركز المنار للتنمية الفكرية / زي,مجموعات دعم أسري,المراكز والمؤسسات,البلقاء|جهة حكومية,الأردن,962779808090,,البلقاء، زي، قرب مسجد زي
habdir85,مدرسة الرجاء لتعليم المعاقين سمعياً,إعاقات متعددة,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,962772281832,alrajaaschool@yahoo.com,الزرقاء، لواء الرصيفة، الجبل الشمالي، اسكان الامير طلال
habdir86,جمعية رعاية المعوقين,إعاقات سمعية,المراكز والمؤسسات,الكرك|جهة تطوعية,الأردن,,,الكرك، الوسية، جانب مركز الكرك للرعاية والتأهيل
habdir87,مركز جمعية قضاء عرجان للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,962797660334,mhmmaddwekat44@gmail.com,عجلون، قضاء عرجان، قرية ابو الهوا، طريق راسون و عرجان
habdir88,مركز المنار للتنمية الفكرية / المدينة الرياضية,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,962776944821,,عمان، المدينة الرياضية، حي الخرابشة، مقابل المدارس الأوروبية
habdir89,مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,,,المفرق، شارع الجامعة، خلف مؤسسة الردايدة، بجانب مديرية العمل
habdir90,مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,,,إربد، لواء الرمثا
habdir91,مدرسة الفنار الأساسية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,962796186461,,الزرقاء، الزرقاء الجديدة، البتراوي، دوار بادي الغويري، مقابل مدراس الهداية
habdir92,جمعية سنا لدعم ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,962788337515,info@sana.org.jo,عمان، الدوار السابع، شارع عبدالله غوشة
habdir93,مركز الأطفال المبتسمين لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962779808090,hope_yes@hotmail.com,عمان، الجاردنز، الدخلة التابعة مباشرة بعد مطاعم المنقل‏
habdir94,أكاديمية سوا للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962790902245,sawa.academy18@gmail.com,عمان، الرابية، بالقرب من مدارس كامبردج
habdir95,مركز لبنى للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962791017001,lubnacfse@gmail.com,عمان، الدوار السابع، خلف السي تاون، شارع تباشير 3
habdir96,جمعية التطوير المجتمعي للبادية الشمالية الخيرية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,962799904333,,المفرق، الشارع الرئيسي، بالقرب من البلدية
habdir97,جمعية السرحان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,962799650343,alserhansfse@gmail.com,المفرق، مغير السرحان، الشارع الرئيسي، خلف المدرسة الأساسية المختلطة
habdir98,مركز CDR لذوي الاعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962772639073,beboo_198399@yahoo.com,عمان، الجبيهة، شارع ياجوز
habdir99,جمعية التصلب اللويحي المتعدد الخيرية,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,962772055433,,عمان، جبل الحسين، شارع خالد بن الوليد، عمارة السعادة
habdir100,مركز لوفاس للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962797763536,lovaas.center@yahoo.com,عمان، مرج الحمام، قرب دوار الجندي
habdir101,مدرسة الأمل الأساسية للصم,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,962792269197,alamaldeafammanfirst66@yahoo.com,عمان، ماركا، حي العبدللات - قرب حلويات النجمة
habdir102,مركز العقبة الشامل للتربية الخاصة,إعاقات سمعية,المراكز والمؤسسات,العقبة|جهة حكومية,الأردن,962772136501,,العقبة، المنطقة الخامسة، شارع الملك عبدالله - بجانب مدرسة البطريك ثيودورس الاول
habdir103,مركز آية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962796454538,aya_sec@yahoo.com,عمان، ماركا الشمالية، حي المزارع، شارع منصور السرحان - بناية 17
habdir104,مركز التأهيل والتشغيل المهني,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,962795404949,,إربد، حي القصيلة، غرب مجمع الأغوار الجديد
habdir105,جمعية الأمل للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,إربد|جهة تطوعية,الأردن,962778431315,alamal1236@yahoo.com,إربد، ايدون	الحي الغربي، قرب ديوان الخصاونة
habdir106,مركز روح الشرق للتطوير,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,,info@orientspirit.net,عمان، الدوار السابع، شارع ابراهيم قطان - مبنى رقم 62
habdir107,جمعية جابر للتنمية الإجتماعية,إعاقات متعددة,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,,,المفرق، جابر السرحان، الحي الشمالي - بالقرب من مدرسة جابر السرحان الثانوية
habdir108,المدرسة الإنجيلية الأسقفية العربية,إعاقات حركية,المراكز والمؤسسات,إربد|جهة خاصة,الأردن,962779089374,stjohn_b@hotmail.com,إربد، شارع البارحة، خلف جمعية آل حداد
habdir109,مدرسة المخلص الإنجيلية الأسقفية العربية,إعاقات بصرية,المراكز والمؤسسات,الزرقاء|جهة خاصة,الأردن,,ses.1995@yahoo.com,الزرقاء، شارع الأمير نايف، مقابل مدرسة الروم الأرثدوكس
habdir110,شركة مركز إنجاز للتوحد,إعاقات بصرية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962776581322,info@enjaz-autsim.com,عمان، شفا بدران، خلف جامعة العلوم التطبيقية، بجانب مسجد الشهيد محمود الكايد - فيلا رقم (42)
habdir111,مركز أصدقاء التوحد الخيري,توحد,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,962796648966,,العقبة، خلف السيفوي، فلل المهندسين - قرب محكمة ضريبة الدخل
habdir112,جمعية المنشية للتربية الخاصة,توحد,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,,,المفرق، منشية بني حسن
habdir113,جمعية كفرنجة الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عجلون,الأردن,962795639172,abujalalb@gmail.com,عجلون، كفرنجة، طريق الأغوار - الحي الغربي الشمالي
habdir114,مركز تنمية المجتمع المحلي,إعاقات حركية,المراكز والمؤسسات,إربد|جهة حكومية,الأردن,962772103399,,إربد، لواء الرمثا، الطرة، وسط البلد - دوار أمنية
habdir115,مركز الزرقاء الشامل للتربية الخاصة,إعاقات حركية,المراكز والمؤسسات,الزرقاء|جهة حكومية,الأردن,,,الزرقاء، جبل طارق، خلف المحافظة
habdir116,مدارس دار الأرقم الإسلامية وعمان الدولية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962798518280,thaqafa150@yahoo.com,عمان، ضاحية الرشيد، شارع كمال منكو - قرب هيئة تنظيم قطاع النقل العام
habdir117,مركز الرجاء للتربية الخاصة,صعوبات تعلم,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,,,عمان، رأس العين، حي الزهور، شارع ميمونة بنت الحارث - قرب غابة شهداء عمان - بناية رقم 86
habdir118,مركز أبو حطب للعلاج الطبيعي,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,,,عمان، صويلح، شارع الملكة رانيا، إشارة الدوريات - بناء (383)
habdir119,المدرسة النموذجية للشلل الدماغي,إعاقات حركية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,962795546972,cp_school_ammanfirst@yahoo.com,عمان، الشميساني، شارع رفعت الصليبي - بناية رقم 16
habdir120,أكاديمية طوبى للتربية الخاصة وتنمية القدرات,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,,,عمان، شارع مكة، خلف محطة السندباد للمحروقات
habdir121,أكاديمية التميز الشامل,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,962795516721,,عمان، شارع الأردن، قرب جامعة عمان العربية
habdir122,جمعية الصداقة الأردنية الخيرية لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية|عمان,الأردن,962797134415,,عمان، القويسمة، خلف كازية العصيوي _ مقابل عيادة جنى
habdir123,المركز الإستشاري للتوحد,إعاقات حركية,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962795557769,,عمان، شفا بدران، بجانب القيادة العامة لقوات الدرك
habdir124,مركز المنار للتنمية الفكرية / المفرق,توحد,المراكز والمؤسسات,المفرق|جهة حكومية,الأردن,,tahabk@yahoo.com,المفرق، الرويشد، الشارع الرئيسي - جانب المؤسسة الإستهلاكية
habdir125,مركز المنار للتنمية الفكرية /عجلون,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية|عجلون,الأردن,,,عجلون، عنجرة، طريق عمان القديم، حي سرارة - بجانب مكتب د.محمود ابو خلف
habdir127,مدرسة الأمل الثانوية المختلطة للصم,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية|عمان,الأردن,,alamaldeafammanfirst66@yahoo.com,عمان، جبل اللويبدة، قرب دوار باريس - بجانب المركز الصحي الشامل ومؤسسة الأيتام
habdir128,جمعية الجنوب للتربية الخاصة,إعاقات سمعية,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,,ssmaan1996@yahoo.com,معان، السطح، الطريق الصحراوي - قرب بيت التنمية والقرى
habdir129,جمعية الطيبة الجنوبية لذوي الإحتياجات الخاصة /البتراء,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,962777244883,,معان، لواء البتراء ، بلدة الطيبة، مقابل مكتب بريد الطيبة
habdir130,جمعية مهارات لرعاية وتأهيل ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية|معان,الأردن,,tharwa_a@yahoo.com,معان، طريق أذرح، خلف مسجد ماريا القبطية
habdir131,مركز المنار للتنمية الفكرية /أذرح,إعاقات متعددة,المراكز والمؤسسات,جهة حكومية|معان,الأردن,962795020224,,معان، مكان الشرطة سابقاً
habdir132,جمعية الأمل الخيرية /جرش,إعاقات ذهنية,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,962779526856,,جرش، بناية الإتحاد العام للجمعيات الخيرية
habdir133,جمعية أم الزيتون الخيرية,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,962772409099,,جرش، أم الزيتون، بجانب مدرسة الذكور
habdir134,جمعية جرش لرعاية ذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,962772091303,,جرش، شارع المفرق، بناية الإتحاد العام للجمعيات الخيرية
habdir135,جمعية قفقفا للتنمية الاجتماعية,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة تطوعية,الأردن,962772203004,,جرش، قفقفا، بجانب مسجد خباب بن الأرت
habdir136,مركز التأهيل المجتمعي للأشخاص ذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة دولية,الأردن,962795343339,jerashcbrc@yahoo.com,جرش، مخيم جرش، خلف مدارس وكالة الغوث - شارع الحدادة
habdir137,مركز نور الحياة للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جرش|جهة خاصة,الأردن,,ayasrah_68@hotmail.com,جرش، حي ظهر السرو، قرب مدرسة جرش الأهلية
habdir138,جمعية أم القطين لذوي الإحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,المفرق|جهة تطوعية,الأردن,962772167979,,المفرق، لواء البادية الشرقية، قضاء أم القطين
habdir139,مركز سيدة السلام لذوي الإحتياجات الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,962777966829,,العقبة، المنطقة الثامنة، بجانب مسجد الرياطي
habdir140,جمعية أجيال الخيرية,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,,ajyalaqaba@yahoo.com,العقبة، وسط البلد، بجانب مركز أمن المدينة
habdir141,جمعية البادية الجنوبية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة تطوعية,الأردن,962777327856,,العقبة، القويرة، حي العمران
habdir142,مركز المنار للتنمية الفكرية / العقبة,إعاقات متعددة,المراكز والمؤسسات,العقبة|جهة حكومية,الأردن,,,العقبة، القويرة، الشارع الدولي عمان_ العقبة - مقابل مستشفى القويرة العسكري
